D:\data\overige2021\rk\20200201rk_cocacase28x\B039719.D Mon Feb 01 20:01:18 2021
Start of data points
1.58972,12838
1.59232,11767
1.59492,12114
1.59753,11661
1.60013,11846
1.60275,11730
1.60535,10139
1.60795,10744
1.61057,12877
1.61317,10078
1.61578,11562
1.61838,11525
1.62100,11586
1.62360,12211
1.62620,11527
1.62882,11651
1.63142,11382
1.63403,11778
1.63663,10735
1.63923,11078
1.64185,9441
1.64445,11143
1.64707,8593
1.64967,11468
1.65227,9203
1.65488,10447
1.65748,10016
1.66010,10630
1.66270,10493
1.66530,10853
1.66792,10326
1.67052,11068
1.67313,9250
1.67573,10333
1.67833,10694
1.68095,9150
1.68355,9440
1.68617,10163
1.68877,10053
1.69137,9968
1.69398,9089
1.69658,10017
1.69920,10166
1.70180,10695
1.70442,10849
1.70702,11267
1.70962,10662
1.71223,9740
1.71483,10421
1.71745,10048
1.72005,9602
1.72265,8761
1.72527,8601
1.72787,9460
1.73048,8553
1.73308,7857
1.73568,8875
1.73830,8680
1.74090,9014
1.74352,8152
1.74612,8300
1.74872,10031
1.75133,7626
1.75393,8560
1.75655,8625
1.75915,9072
1.76175,8583
1.76437,8645
1.76697,8330
1.76958,8909
1.77218,7264
1.77478,8860
1.77740,7532
1.78000,9259
1.78262,7191
1.78522,7969
1.78783,7919
1.79043,7162
1.79303,8723
1.79565,7779
1.79825,8027
1.80087,8292
1.80347,7026
1.80607,9951
1.80868,8119
1.81128,10273
1.81390,6038
1.81650,7798
1.81910,8965
1.82172,6364
1.82432,6552
1.82693,8135
1.82953,7078
1.83213,7597
1.83475,6968
1.83735,7693
1.83997,5949
1.84257,7105
1.84517,7527
1.84778,7350
1.85038,6606
1.85300,6989
1.85560,6670
1.85820,5865
1.86082,7229
1.86342,7238
1.86603,6098
1.86863,6973
1.87125,7310
1.87385,5536
1.87645,8073
1.87907,5354
1.88167,7174
1.88428,6703
1.88688,6281
1.88948,7061
1.89210,5736
1.89470,6981
1.89732,6762
1.89992,7012
1.90252,6729
1.90513,6694
1.90773,7657
1.91035,7586
1.91295,5283
1.91555,6631
1.91817,6180
1.92077,5344
1.92338,5558
1.92598,5868
1.92858,7010
1.93120,6290
1.93380,5192
1.93642,5762
1.93902,6475
1.94162,5543
1.94423,7364
1.94683,6000
1.94945,7169
1.95205,6769
1.95467,6737
1.95727,5468
1.95987,6603
1.96248,5670
1.96508,5862
1.96770,6428
1.97030,5602
1.97290,6215
1.97552,5822
1.97812,5367
1.98073,6934
1.98333,6797
1.98593,6803
1.98855,5347
1.99115,6706
1.99377,6388
1.99637,6089
1.99897,6002
2.00158,5988
